pid,grdatn,age,state,natvty,msafp,year,immigr,se15u,ind2
5580015096604 6011 22111,40,56,93,57,46700,2017,0,1,9090
6014405610963 6011 22111,40,54,93,312,41940,2017,1,1,8470
6216001111006 4011 12011,40,59,93,57,23420,2017,0,1,3960
6750917071671 6011 122 1,33,58,93,303,37100,2017,1,1,6380
6822715042636 6011 12110,41,46,93,57,31080,2017,0,1,770
6822715042636 6011 22110,39,50,93,57,31080,2017,0,1,770
10108150136846 4011 12010,44,59,93,57,42220,2017,0,1,7390
10200900631916 6011 12111,43,56,93,210,31080,2017,1,1,6970
10210413061665 5011 42012,40,54,93,57,41740,2017,0,1,7370
15060213035607 5011 121 1,46,63,93,139,31080,2017,1,1,7970
16221715042634 5011 32012,39,47,93,239,31080,2017,1,1,5580
16622715042637 6011 122 1,33,44,93,313,31080,2017,1,1,770
17301910019682 5011 12012,46,58,93,57,31080,2017,0,1,7990
17470410095619 5012 22012,43,28,93,57,41740,2017,0,1,6170
19051412036620 5011 12012,46,43,93,138,31080,2017,1,1,8370
21142216064691 4011 12010,43,29,93,57,31080,2017,0,1,7280
21490216048609 4011 12011,46,33,93,211,41860,2017,1,1,7270
22370719050603 4011 12011,38,38,93,303,40140,2017,1,1,5690
22370719050603 4011 22011,38,36,93,303,40140,2017,1,1,7690
22900815069690 6011 122 1,46,47,93,247,41740,2017,1,1,8180
23052816057642 6011 12111,39,24,93,57,31080,2017,0,1,770
23052816057642 6011 42111,44,62,93,212,31080,2017,1,1,9070
24312614014688 6011 32110,42,33,93,57,31080,2017,0,1,8560
30086115005921 5011 22012,41,45,93,57,44700,2017,0,1,8370
32422819058632 6011 12110,40,44,93,57,31080,2017,0,1,8370
46046581025411 4011 12011,44,57,93,57,31080,2017,0,1,7380
51362018600995 5011 32012,44,41,93,215,41740,2017,1,1,2390
60081192806917 6011 92111,32,45,93,303,31080,2017,1,1,770
60901190004031 6011 12110,39,60,93,217,31080,2017,1,1,4970
60901190407021 4011 12010,40,61,93,303,31080,2017,1,1,4070
66374001782002 6011 12110,43,60,93,57,40140,2017,0,1,6970
78066045019351 5012 121 1,43,28,93,57,31080,2017,0,1,8560
78066845017351 5011 221 1,45,50,93,57,31080,2017,0,1,7970
96076225007471 4011 12010,42,53,93,57,37100,2017,0,1,8560
100610582329588 5011 121 1,37,30,93,312,31080,2017,1,1,5370
100610582329588 5011 221 1,36,33,93,303,31080,2017,1,1,5790
100611024831962 5011 221 1,43,40,93,57,31080,2017,0,1,6890
101023148610510 6011 32111,40,22,93,57,41740,2017,0,1,770
101160060102061 4011 12011,40,37,93,57,23420,2017,0,1,6190
108520060222284 4011 42011,39,20,93,57,41740,2017,0,1,8560
109066855004831 6011 32110,38,38,93,57,40900,2017,0,1,770
110100310951146 5011 221 1,42,37,93,57,41740,2017,0,1,770
110206130596406 6011 22112,42,46,93,303,41740,2017,1,1,8980
110220060204866 6011 12111,43,43,93,57,40140,2017,0,1,8990
110300310241146 4011 12010,43,25,93,57,41740,2017,0,1,6190
110306130036406 4012 42011,38,31,93,303,41740,2017,1,1,770
116460260369442 6011 12111,43,39,93,138,31080,2017,1,1,7470
126656201070004 6011 12110,39,55,93,57,42200,2017,0,1,7390
126656201070004 6011 22110,39,52,93,57,42200,2017,0,1,7390
136150060175118 5011 22012,39,61,93,247,31080,2017,1,1,8470
136750260304558 6011 12110,43,29,93,57,31080,2017,0,1,6570
140060060213056 4011 22011,40,21,93,126,31080,2017,0,1,8590
141110060240371 4011 12011,43,49,93,57,41740,2017,0,1,770
141290160188312 5011 221 1,43,28,93,57,31080,2017,0,1,8590
141290260368362 6011 12110,39,55,93,57,31080,2017,0,1,7780
144410260188156 6011 12110,39,48,93,57,31080,2017,0,1,770
144410260368106 6011 22111,40,44,93,57,31080,2017,0,1,8560
147140060270632 4011 22011,40,54,93,57,41860,2017,0,1,770
148890060217840 4011 12011,43,60,93,57,41860,2017,0,1,5590
154590060169958 4011 12010,43,35,93,57,41940,2017,0,1,7070
160129160105523 4011 12010,44,26,93,57,31080,2017,0,1,7290
160389121702204 5011 12012,39,31,93,303,31080,2017,1,1,770
160389121904204 5012 121 1,34,38,93,312,31080,2017,1,1,7770
164026823020951 6011 12112,38,48,93,303,31080,2017,1,1,7690
167560060137159 6011 12112,43,36,93,210,23420,2017,1,1,6170
170910260048099 6011 12110,44,51,93,137,31080,2017,0,1,770
185870060050562 5011 22012,42,58,93,207,42220,2017,1,1,7280
186915501332001 6011 12110,44,47,93,57,41860,2017,0,1,8560
188076320026011 4011 12010,43,51,93,158,31080,2017,1,1,770
190076181004581 5011 22012,40,35,93,57,41740,2017,0,1,9090
192630260132544 4011 12011,43,40,93,57,31080,2017,0,1,8680
192630260132544 4011 22011,39,47,93,57,31080,2017,0,1,6570
192630260162564 6011 22110,46,64,93,214,31080,2017,1,1,8080
192630260342514 6011 12111,43,53,93,312,31080,2017,1,1,8660
192630260342514 6011 22111,35,31,93,312,31080,2017,1,1,8680
200611397800109 6011 22111,37,40,93,303,31080,2017,1,1,8980
200611897800169 6011 12111,44,39,93,57,31080,2017,0,1,8080
200611897800169 6011 32111,39,25,93,57,31080,2017,0,1,7380
200611897800169 6011 42111,39,25,93,57,31080,2017,0,1,8790
200611897800169 6011 22111,39,50,93,57,31080,2017,0,1,770
200611983456517 4011 12011,43,27,93,57,31080,2017,0,1,7390
200612080217078 4012 12011,40,26,93,57,31080,2017,0,1,8560
200612383456567 6011 22112,39,25,93,303,31080,2017,1,1,6570
200612964814154 6011 122 1,41,55,93,57,31080,2017,0,1,7380
200613183456567 6011 12112,43,38,93,120,31080,2017,1,1,6570
200613482329528 6011 22110,40,33,93,226,31080,2017,1,1,8560
205026356610730 4011 32011,36,56,93,247,31080,2017,1,1,8680
210105720115546 5011 42012,42,53,93,207,41860,2017,1,1,8680
210105720115546 5011 32012,42,54,93,207,41860,2017,1,1,8680
216282021873000 6011 12111,43,37,93,57,31080,2017,0,1,7770
222023145610298 6011 12112,33,48,93,303,31080,2017,1,1,770
231036791001581 6011 12112,39,42,93,303,41860,2017,1,1,4690
246046481028411 6011 12112,33,35,93,303,31080,2017,1,1,6170
252056631000391 6011 122 1,40,34,93,57,40140,2017,0,1,8560
256016229007311 6011 22110,38,32,93,57,31080,2017,0,1,8980
260523141000619 5012 12012,39,36,93,555,31080,2017,1,1,8590
260523142100619 6011 22110,43,53,93,57,31080,2017,0,1,7390
260523142203629 4011 32011,35,42,93,57,31080,2017,0,1,770
275016787002831 4011 22011,45,38,93,57,31080,2017,0,1,7270
275046347004711 6011 12110,46,49,93,57,41860,2017,0,1,8080
275046347004711 6011 22110,43,50,93,57,41860,2017,0,1,770
296742701491001 5011 12012,43,28,93,57,41860,2017,0,1,7380
296742701491001 5011 22012,44,28,93,57,41860,2017,0,1,3190
305026503610374 4011 22010,43,32,93,57,41860,2017,0,1,6570
306890721900001 4011 12010,44,38,93,301,31080,2017,1,1,7070
310005260243706 4011 12010,43,62,93,57,33700,2017,0,1,6990
310205920940786 6011 12112,44,51,93,57,41860,2017,0,1,7290
310205920940786 6011 22112,44,46,93,57,41860,2017,0,1,7290
311016301005431 6011 22110,39,27,93,57,41740,2017,0,1,8970
311264002902829 6011 12112,43,50,93,57,31080,2017,0,1,6890
311964032902829 6011 122 1,40,62,93,57,31080,2017,0,1,6190
321462039200151 6011 122 1,36,56,93,57,41740,2017,0,1,770
326370621253004 6011 122 1,40,43,93,57,31080,2017,0,1,1990
336015401113001 6011 12110,43,50,93,57,41740,2017,0,1,7070
336194201521002 5011 121 1,43,49,93,57,41740,2017,0,1,6170
360959120906208 5011 121 1,40,59,93,57,40140,2017,0,1,770
388076220022011 6011 12111,44,31,93,57,31080,2017,0,1,6570
388076220022011 6011 22111,43,27,93,57,31080,2017,0,1,6570
410101500029446 6011 12111,40,40,93,57,40900,2017,0,1,7390
411008140641646 5011 121 1,40,36,93,57,31080,2017,0,1,5170
412208140831646 6011 32110,42,27,93,57,31080,2017,0,1,8970
436017401112001 4011 12011,43,41,93,57,41740,2017,0,1,7670
460181161406404 5012 121 1,43,34,93,312,31080,2017,1,1,6970
460181161500414 5011 221 1,43,55,93,57,31080,2017,0,1,770
461561022602945 6011 322 1,37,46,93,313,31080,2017,1,1,770
466963101852004 6011 12110,42,45,93,207,41860,2017,1,1,4390
