"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"86",36100,NA,36100,"Ocala, FL","Ocala, FL Metro Area","M1",1,"G3110",4112985503,193293405,29.2028047,-82.0431004,28,54,0,"7860",553,9.76491862567812,5.06329113924051,0
"87",39460,412,39460,"Punta Gorda, FL","Punta Gorda, FL Metro Area","M1",1,"G3110",1764034033,458806771,26.8689328,-81.9410769,26,31,4,"770",334,9.2814371257485,7.78443113772455,1.19760479041916
"88",34940,162,34940,"Naples-Immokalee-Marco Island, FL","Naples-Immokalee-Marco Island, FL Metro Area","M1",1,"G3110",5176959832,792901545,26.118786,-81.4009553,55,173,9,"770",499,34.6693386773547,11.0220440881764,1.80360721442886
"89",36740,422,36740,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area","M1",1,"G3110",9012049786,1377779539,28.434348,-81.3558763,378,842,123,"770",4263,19.7513488153882,8.86699507389163,2.88529204785362
"90",37340,NA,37340,"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL Metro Area","M1",1,"G3110",2629960540,1402786334,28.2983043,-80.7003309,51,113,0,"770",1076,10.5018587360595,4.73977695167286,0
"91",38940,370,38940,"Port St. Lucie, FL","Port St. Lucie, FL Metro Area","M1",1,"G3110",2888882297,843124181,27.2326989,-80.4267701,47,95,13,"770",763,12.4508519003932,6.15989515072084,1.70380078636959
"92",38300,430,38300,"Pittsburgh, PA","Pittsburgh, PA Metro Area","M1",1,"G3110",13678958451,157924987,40.4343378,-79.8280615,282,161,12,"8190",5923,2.71821711970285,4.7611007935168,0.202600033766672
"93",34820,396,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","M1",1,"G3110",5136165448,833808418,33.9690951,-78.6127235,78,26,4,"770",837,3.1063321385902,9.31899641577061,0.4778972520908
"94",37980,428,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","M1",1,"G3110",11920145588,693341961,39.8951304,-75.3120032,1237,2278,177,"770",20506,11.1089437237882,6.0323807666049,0.863162001365454
"95",36140,428,36140,"Ocean City, NJ","Ocean City, NJ Metro Area","M1",1,"G3110",651209688,955666476,39.0861425,-74.8477158,14,11,0,"770",176,6.25,7.95454545454545,0
"96",35620,408,35620,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area","M1",1,"G3110",21478408908,6689374328,40.8987884,-73.9031302,2877,14381,1044,"7860",40553,35.4622346065642,7.0944196483614,2.57440879836264
"97",39300,148,39300,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area","M1",1,"G3110",4110362048,1681136832,41.7016138,-71.2892856,1177,2400,157,"770",16463,14.5781449310575,7.14936524327279,0.953653647573346
"98",33460,378,33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","M1",1,"G3110",19781159640,1248717247,45.0612031,-93.3515965,982,1783,48,"770",14208,12.549268018018,6.9115990990991,0.337837837837838
"99",33340,376,33340,"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI Metro Area","M1",1,"G3110",3767864626,4835860493,43.0176524,-87.4815485,318,450,36,"770",4934,9.12038913660316,6.44507498986623,0.729631130928253
"100",21660,NA,21660,"Eugene, OR","Eugene, OR Metro Area","M1",1,"G3110",11792794737,436681302,43.9283286,-122.8976901,88,94,5,"770",1280,7.34375,6.875,0.390625
"101",32780,366,32780,"Medford, OR","Medford, OR Metro Area","M1",1,"G3110",7209372699,46860852,42.4116284,-122.6756846,43,21,0,"770",634,3.31230283911672,6.78233438485804,0
"102",33700,382,33700,"Modesto, CA","Modesto, CA Metro Area","M1",1,"G3110",3870867629,51101821,37.5623842,-121.0026557,94,334,16,"770",1245,26.8273092369478,7.55020080321285,1.285140562249
"103",32900,382,32900,"Merced, CA","Merced, CA Metro Area","M1",1,"G3110",5011540709,112771056,37.1948063,-120.7228019,40,190,21,"180",578,32.8719723183391,6.9204152249135,3.63321799307958
"104",31460,260,31460,"Madera, CA","Madera, CA Metro Area","M1",1,"G3110",5535058332,41957139,37.2098213,-119.7498023,22,236,4,"170",567,41.6225749559083,3.88007054673721,0.705467372134039
"105",23420,260,23420,"Fresno, CA","Fresno, CA Metro Area","M1",1,"G3110",15433278958,135402551,36.7610058,-119.6550193,83,495,9,"770",1810,27.3480662983425,4.58563535911602,0.497237569060773
"106",31080,348,31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area","M1",1,"G3110",12558589615,2202092049,34.1090244,-118.1825492,2584,13237,1193,"770",29034,45.5913756285734,8.89991044981745,4.1089756836812
"107",20940,NA,20940,"El Centro, CA","El Centro, CA Metro Area","M1",1,"G3110",10817378445,790204917,33.0408143,-115.3554001,18,226,2,"9470",544,41.5441176470588,3.30882352941176,0.367647058823529
"108",22140,NA,22140,"Farmington, NM","Farmington, NM Metro Area","M1",1,"G3110",14279077920,65425890,36.5116245,-108.3245778,53,38,3,"490",524,7.25190839694656,10.1145038167939,0.572519083969466
"109",10740,106,10740,"Albuquerque, NM","Albuquerque, NM Metro Area","M1",1,"G3110",24041256743,37921741,35.1166033,-106.4565347,301,488,32,"770",4197,11.6273528710984,7.17178937336192,0.762449368596617
"110",21340,238,21340,"El Paso, TX","El Paso, TX Metro Area","M1",1,"G3110",14461646726,7634538,31.527394,-105.5213326,73,572,40,"770",1561,36.6431774503523,4.67648942985266,2.5624599615631
"111",22660,NA,22660,"Fort Collins, CO","Fort Collins, CO Metro Area","M1",1,"G3110",6723986975,98048035,40.6580933,-105.4867638,167,75,11,"770",1295,5.79150579150579,12.8957528957529,0.849420849420849
"112",19740,216,19740,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO Metro Area","M1",1,"G3110",21615642000,147293259,39.4347492,-104.901209,1128,1530,145,"770",10827,14.1313383208645,10.4183984483236,1.33924448138912
"113",24540,216,24540,"Greeley, CO","Greeley, CO Metro Area","M1",1,"G3110",10326656276,76677079,40.5536965,-104.3942215,85,144,8,"770",1178,12.2241086587436,7.21561969439728,0.67911714770798
"114",33260,372,33260,"Midland, TX","Midland, TX Metro Area","M1",1,"G3110",4701543644,6452583,32.0923594,-101.9945395,31,70,9,"490",487,14.3737166324435,6.36550308008214,1.84804928131417
"115",11100,108,11100,"Amarillo, TX","Amarillo, TX Metro Area","M1",1,"G3110",13338829042,87118916,35.2480011,-101.9086668,20,68,4,"770",528,12.8787878787879,3.78787878787879,0.757575757575758
"116",31180,352,31180,"Lubbock, TX","Lubbock, TX Metro Area","M1",1,"G3110",6961014817,21260554,33.4703271,-101.6488249,33,17,4,"770",405,4.19753086419753,8.14814814814815,0.987654320987654
