"","X","state","Immi","Entre","ImmiEntre","n","ImmiRate","EntreRate","ImmiEntreRate_1","ImmiEntreRate_2","Year","ST"
"72",22,47,1127,1237,60,16464,6.85,7.51,4.85,5.32,2002,"Kansas"
"73",23,51,1034,748,36,12703,8.14,5.89,4.81,3.48,2002,"Delaware"
"74",24,52,2130,1224,180,15982,13.33,7.66,14.71,8.45,2002,"Maryland"
"75",25,53,1506,465,76,10063,14.97,4.62,16.34,5.05,2002,"Washington, D.C."
"76",26,54,1971,1095,115,17531,11.24,6.25,10.5,5.83,2002,"Virginia"
"77",27,55,211,697,27,14771,1.43,4.72,3.87,12.8,2002,"West Virginia"
"78",28,56,1424,1474,70,21131,6.74,6.98,4.75,4.92,2002,"North Carolina"
"79",29,57,411,751,28,12140,3.39,6.19,3.73,6.81,2002,"South Carolina"
"80",30,58,1228,1005,98,14568,8.43,6.9,9.75,7.98,2002,"Georgia"
"81",31,59,8714,3350,602,40054,21.76,8.36,17.97,6.91,2002,"Florida"
"82",32,61,376,869,23,13889,2.71,6.26,2.65,6.12,2002,"Kentucky"
"83",33,62,542,988,54,12938,4.19,7.64,5.47,9.96,2002,"Tennessee"
"84",34,63,423,832,25,14706,2.88,5.66,3,5.91,2002,"Alabama"
"85",35,64,179,671,1,9842,1.82,6.82,0.15,0.56,2002,"Mississippi"
"86",36,71,377,886,15,11054,3.41,8.02,1.69,3.98,2002,"Arkansas"
"87",37,72,371,746,22,10965,3.38,6.8,2.95,5.93,2002,"Louisiana"
"88",38,73,553,1076,24,12759,4.33,8.43,2.23,4.34,2002,"Oklahoma"
"89",39,74,8091,3169,490,41900,19.31,7.56,15.46,6.06,2002,"Texas"
"90",40,81,186,1387,16,11028,1.69,12.58,1.15,8.6,2002,"Montana"
"91",41,82,805,1262,55,12858,6.26,9.81,4.36,6.83,2002,"Idaho"
"92",42,83,268,1481,10,13714,1.95,10.8,0.68,3.73,2002,"Wyoming"
"93",43,84,2585,1857,148,21156,12.22,8.78,7.97,5.73,2002,"Colorado"
"94",44,85,1225,825,73,11261,10.88,7.33,8.85,5.96,2002,"New Mexico"
"95",45,86,2441,972,153,13180,18.52,7.37,15.74,6.27,2002,"Arizona"
"96",46,87,1445,1083,66,14296,10.11,7.58,6.09,4.57,2002,"Utah"
"97",47,88,4292,1231,164,19584,21.92,6.29,13.32,3.82,2002,"Nevada"
"98",48,91,2011,1282,100,18064,11.13,7.1,7.8,4.97,2002,"Washington"
"99",49,92,1655,1354,90,16012,10.34,8.46,6.65,5.44,2002,"Oregon"
"100",50,93,25848,5585,1824,71781,36.01,7.78,32.66,7.06,2002,"California"
"101",51,94,1249,1206,90,15006,8.32,8.04,7.46,7.21,2002,"Alaska"
"102",52,95,2577,1079,245,12822,20.1,8.42,22.71,9.51,2002,"Hawaii"
"103",1,11,338,1351,27,13562,2.49,9.96,2,7.99,2001,"Maine"
"104",2,12,668,1167,38,13269,5.03,8.79,3.26,5.69,2001,"New Hampshire"
"105",3,13,387,1272,63,11737,3.3,10.84,4.95,16.28,2001,"Vermont"
"106",4,14,3005,1439,200,19446,15.45,7.4,13.9,6.66,2001,"Massachusetts"
"107",5,15,1749,803,56,12834,13.63,6.26,6.97,3.2,2001,"Rhode Island"
"108",6,16,1443,1039,77,12433,11.61,8.36,7.41,5.34,2001,"Connecticut"
"109",7,21,13141,3381,911,52295,25.13,6.47,26.94,6.93,2001,"New York"
"110",8,22,5730,1637,351,25755,22.25,6.36,21.44,6.13,2001,"New Jersey"
"111",9,23,1875,2366,165,35208,5.33,6.72,6.97,8.8,2001,"Pennsylvania"
"112",10,31,1252,2111,97,32010,3.91,6.59,4.59,7.75,2001,"Ohio"
"113",11,32,454,975,40,14864,3.05,6.56,4.1,8.81,2001,"Indiana"
"114",12,33,5607,2276,394,35780,15.67,6.36,17.31,7.03,2001,"Illinois"
"115",13,34,2309,1859,140,28790,8.02,6.46,7.53,6.06,2001,"Michigan"
"116",14,35,857,1334,37,16142,5.31,8.26,2.77,4.32,2001,"Wisconsin"
"117",15,41,963,1680,61,15961,6.03,10.53,3.63,6.33,2001,"Minnesota"
"118",16,42,796,1284,17,13966,5.7,9.19,1.32,2.14,2001,"Iowa"
"119",17,43,500,958,21,12955,3.86,7.39,2.19,4.2,2001,"Missouri"
"120",18,44,226,1420,14,12327,1.83,11.52,0.99,6.19,2001,"North Dakota"
"121",19,45,218,1613,21,13184,1.65,12.23,1.3,9.63,2001,"South Dakota"
"122",20,46,647,1406,20,13281,4.87,10.59,1.42,3.09,2001,"Nebraska"
"123",21,47,892,1000,46,13333,6.69,7.5,4.6,5.16,2001,"Kansas"
"124",22,51,686,675,44,10682,6.42,6.32,6.52,6.41,2001,"Delaware"
"125",23,52,1649,993,116,12992,12.69,7.64,11.68,7.03,2001,"Maryland"
"126",24,53,1503,488,80,9677,15.53,5.04,16.39,5.32,2001,"Washington, D.C."
"127",25,54,1708,941,91,15725,10.86,5.98,9.67,5.33,2001,"Virginia"
"128",26,55,124,623,13,13114,0.95,4.75,2.09,10.48,2001,"West Virginia"
"129",27,56,1369,1487,67,21164,6.47,7.03,4.51,4.89,2001,"North Carolina"
"130",28,57,349,694,40,10390,3.36,6.68,5.76,11.46,2001,"South Carolina"
