NAME,ENTRE,IMMIG,ImmiEnter,TOTAL,GEOID,INTPTLAT,INTPTLON,IMMIGRate,EntreRate,ImmigOwnEntreRate,year,metro,state
"Pensacola-Ferry Pass-Brent, FL",40,23,3,754,37860,30.6554013,-87.1618275,3.050397878,5.305039788,7.5,2016,Pensacola-Ferry Pass-Brent,FL
"Nashville-Davidson--Murfreesboro--Franklin, TN",330,418,40,5103,34980,36.0885065,-86.7266015,8.191260043,6.466784245,12.12121212,2016,Nashville-Davidson--Murfreesboro--Franklin,TN
"Niles-Benton Harbor, MI",19,18,0,315,35660,41.7926389,-86.7418216,5.714285714,6.031746032,0,2016,Niles-Benton Harbor,MI
"Muskegon, MI",21,8,0,500,34740,43.2892579,-86.751892,1.6,4.2,0,2016,Muskegon,MI
"Panama City, FL",35,48,8,604,37460,30.1010953,-85.4749707,7.947019868,5.794701987,22.85714286,2016,Panama City,FL
"North Port-Sarasota-Bradenton, FL",118,225,36,1439,35840,27.3642465,-82.3193366,15.63585823,8.200138985,30.50847458,2016,North Port-Sarasota-Bradenton,FL
"Ocala, FL",40,41,5,482,36100,29.2028047,-82.0431004,8.506224066,8.298755187,12.5,2016,Ocala,FL
"Naples-Immokalee-Marco Island, FL",75,225,47,668,34940,26.118786,-81.4009553,33.68263473,11.22754491,62.66666667,2016,Naples-Immokalee-Marco Island,FL
"Orlando-Kissimmee-Sanford, FL",323,995,95,4680,36740,28.434348,-81.3558763,21.26068376,6.901709402,29.41176471,2016,Orlando-Kissimmee-Sanford,FL
"Palm Bay-Melbourne-Titusville, FL",53,59,3,1021,37340,28.2983043,-80.7003309,5.778648384,5.190989226,5.660377358,2016,Palm Bay-Melbourne-Titusville,FL
"Port St. Lucie, FL",49,132,10,760,38940,27.2326989,-80.4267701,17.36842105,6.447368421,20.40816327,2016,Port St. Lucie,FL
"Pittsburgh, PA",208,153,14,4574,38300,40.4343378,-79.8280615,3.344993441,4.547442064,6.730769231,2016,Pittsburgh,PA
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",78,65,20,948,34820,33.9690951,-78.6127235,6.856540084,8.227848101,25.64102564,2016,Myrtle Beach-Conway-North Myrtle Beach,SC-NC
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",774,2214,119,16638,37980,39.8951304,-75.3120032,13.30688785,4.652001442,15.374677,2016,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD
"New York-Newark-Jersey City, NY-NJ-PA",2560,13207,895,39021,35620,40.8987884,-73.9031302,33.84587786,6.56056995,34.9609375,2016,New York-Newark-Jersey City,NY-NJ-PA
"New Haven-Milford, CT",146,314,28,2081,35300,41.3497173,-72.9002037,15.08889957,7.015857761,19.17808219,2016,New Haven-Milford,CT
"Norwich-New London, CT",26,65,0,647,35980,41.4726514,-72.1086329,10.04636785,4.018547141,0,2016,Norwich-New London,CT
